title,listed_in,description,rating
The Assignment,Action & Adventure,A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge.,R
The Autopsy of Jane Doe,"Horror Movies, Independent Movies, Thrillers",A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.,R
The Bachelor,"Reality TV, Romantic TV Shows",A single man searches for his soulmate through a series of dates with 25 contestants ready to romance him for a chance at love.,TV-14
The Bachelors,Dramas,"After the death of his wife, a teacher and his son move to a new city, where emotional connections with two women help them begin to heal.",TV-14
The Bad Education Movie,Comedies,"Britain's most ineffective but caring teacher takes his class to Cornwall for one last school trip, where anything could happen –
 and probably will.",TV-MA
The Bad Kids,Documentaries,"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students.",TV-MA
The Bare-Footed Kid,"Action & Adventure, International Movies","While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.",TV-14
The Basement,"Horror Movies, Thrillers","Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games.",TV-MA
The Battle of Midway,"Classic Movies, Documentaries","Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",TV-14
The Beat,"International TV Shows, TV Dramas","The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.",TV-MA
The Beginning of Life: The Series,"Docuseries, International TV Shows, Science & Nature TV","Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future.",TV-PG
The Bible's Buried Secrets,"British TV Shows, Docuseries, Science & Nature TV","Host Francesca Stavrakopoulou travels across the Middle East, offering extraordinary insights into the stories of the Old Testament.",TV-14
The Big Catch,"British TV Shows, Reality TV","In a global competition, eight fishing enthusiasts battle extreme conditions and dangerous waters to be crowned the ultimate angler.",TV-PG
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Documentaries,"This documentary highlights spontaneous encounters with the elusive, comedic veteran, who touches lives by simply showing up anywhere.",TV-MA
The Black Room,Horror Movies,A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement.,TV-MA
The Blackcoat's Daughter,"Horror Movies, Independent Movies, Thrillers","When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence.",R
The Bleeder,"Dramas, Sports Movies","Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa.",R
The Blue Planet: A Natural History of the Oceans,"British TV Shows, Docuseries, International TV Shows","David Attenborough narrates this definitive exploration of the marine world, from the familiar to the unknown, revealing the sea and its communities.",TV-G
The Bomb,Documentaries,"Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid.",TV-14
The Bomb Squad,"British TV Shows, Docuseries",This documentary follows British bomb disposal teams in Afghanistan and the dangers they face in their methodical lives on the front lines of war.,TV-MA
The Book of Eli,"Action & Adventure, Sci-Fi & Fantasy","Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",R
The Boss's Daughter,"Dramas, International Movies, Romantic Movies","While working together, a married textile foreman and his boss’s daughter have a torrid love affair, stirring up hostility among the factory crew.",TV-MA
The Bounty Hunter,"Action & Adventure, Comedies, Romantic Movies","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",PG-13
The Box,"Sci-Fi & Fantasy, Thrillers",A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.,PG-13
The Boy,"Horror Movies, Independent Movies, Thrillers",A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,PG-13
The Boy in the Striped Pajamas,"Dramas, Independent Movies, International Movies","When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner.",PG-13
The Brave One,"Dramas, Thrillers",New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.,R
The Brawler,"Dramas, Independent Movies, Sports Movies","Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",TV-MA
The Breadwinner,"Children & Family Movies, Dramas, International Movies",A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.,PG-13
The Break-Up,"Comedies, Dramas, Romantic Movies",Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.,PG-13
The Bridge,"Dramas, International Movies, Romantic Movies",A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,TV-14
The Brothers Grimm,"Action & Adventure, Sci-Fi & Fantasy","Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.",PG-13
The Bucket List,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,PG-13
The Bulbul's Nest,"Comedies, International Movies","A taxi driver longs to be a pop singer, but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer.",TV-MA
The Bund,"Action & Adventure, Dramas, International Movies","After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.",TV-14
The Bye Bye Man,"Horror Movies, Thrillers",Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man.,PG-13
The Bygone,"Independent Movies, Thrillers","His way of life under threat due to the oil fracking boom, a young rancher defends a Lakota woman and becomes entangled in human trafficking.",TV-MA
The Cakemaker,"Dramas, Independent Movies, International Movies","When a German baker travels to Jerusalem in search of his dead male lover’s family, his growing involvement with them may expose his truth.",TV-14
The Calling,"International TV Shows, Reality TV","Food-crazed travel junkies journey across India, completing bucket list challenges for a chance to win a once-in-a-lifetime scholarship.",TV-MA
The Captive,"Dramas, Thrillers","Eight years after their daughter's abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she's still alive.",R
The Car,"Cult Movies, Horror Movies","In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan.",PG
The Carter Effect,"Documentaries, Sports Movies","Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene.",TV-MA
The Case for Christ,"Dramas, Faith & Spirituality","Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith.",TV-PG
The Cell,"Action & Adventure, Dramas, International Movies",A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,TV-MA
The CEO,"Dramas, International Movies, Thrillers",A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.,TV-14
The Charnel House,"Horror Movies, Thrillers","After an architect transforms a slaughterhouse into trendy lofts, its new inhabitants discover that the structure is haunted by its evil past.",R
The Chefs' Line,"International TV Shows, Reality TV",Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.,TV-14
The Chord,"Dramas, International Movies, Music & Musicals","A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.",TV-MA
The Chosen,"Dramas, International Movies, Thrillers","In 1937, Spanish revolutionary Ramón trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico.",TV-14
The Chosen Ones,"Dramas, Independent Movies, International Movies","Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he'll do anything to rescue her.",TV-MA
The Christmas Candle,"Dramas, Faith & Spirituality",A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.,PG
The Christmas Project,"Children & Family Movies, Comedies",Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.,TV-PG
The Cincinnati Kid,"Classic Movies, Dramas","In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues.",TV-14
The Code,"British TV Shows, Docuseries, International TV Shows","In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself.",TV-PG
The Company Men,"Dramas, Independent Movies",A successful businessman comes face-to-face with America's downsizing epidemic when he loses his job and is forced to take a construction gig.,R
The Competition,"Comedies, Romantic Movies","After developing an ""infidelity formula"" said to repel cheating, a popular blogger crosses paths with a charming lawyer willing to put it to the test.",TV-14
The Confirmation,"Comedies, Dramas, Independent Movies",A divorced handyman with a drinking problem bonds with his 8-year-old son when a search for his stolen toolbox leads to a series of misadventures.,PG-13
The Congress,"Dramas, International Movies, Sci-Fi & Fantasy",Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.,TV-MA
The Consul's Son,"Comedies, International Movies, Thrillers",A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,TV-14
The Craft,"Horror Movies, Thrillers","At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents.",R
The Cravings,"International TV Shows, Korean TV Shows, TV Comedies","Thirtysomething career woman Jae-yeong attempts to juggle her job and personal relationships, all the while never failing to eat well.",TV-14
The Croods,"Children & Family Movies, Comedies","When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",PG
The Crow,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge.",R
The Cruise,"Comedies, Cult Movies, International Movies","When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue.",TV-PG
The Crying Game,"Classic Movies, Independent Movies, Thrillers","IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.",R
The Curse of Oak Island,"Docuseries, Science & Nature TV","On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",TV-PG
The D Train,Comedies,A loser in charge of planning his high school class's 20-year reunion thinks he's scored a major coup when he gets a marginally famous alum to attend.,R
The Damned Rain,"Dramas, International Movies","An optimistic farmer is determined to succeed in spite of the lack of rain in his region, and the sinking spirits around him.",TV-14
The Dancer,"Dramas, International Movies, Romantic Movies","Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer.",TV-MA
The Dark Crystal,Children & Family Movies,"In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.",PG
The Dark Side of Life: Mumbai City,"Dramas, International Movies","Struggling with Mumbai's pressures and private battles with depression, six lives intersect just as they reach a breaking point.",TV-MA
The Darkest Dawn,"Action & Adventure, Independent Movies, International Movies",An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.,TV-MA
The Daughter,Dramas,"Having returned home for his cagey father's wedding, an estranged man gets to know his childhood friend's family and uncovers a devastating secret.",TV-MA
The Dawn Wall,"Documentaries, Sports Movies",Cameras follow Tommy Caldwell and Kevin Jorgeson as they take on the staggering challenge of free-climbing Yosemite’s most formidable rock formation.,TV-MA
The Day My Butt Went Psycho!,"Kids' TV, TV Comedies",A boy and his best friend – his newly detached butt – embark on wacky adventures in a world where humans and their butts live side by side.,TV-Y7
The Departed,"Dramas, Thrillers",Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,R
The Desert Bride,"Dramas, International Movies","While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities.",TV-14
The Detained,"Horror Movies, Thrillers",Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them.,TV-14
The Devil and Father Amorth,"Documentaries, Horror Movies","In Rome, ""Exorcist"" director William Friedkin follows a 91-year-old priest who performs a real demonic exorcism on a woman from a small Italian town.",TV-PG
The Devil Inside,"Horror Movies, Thrillers","At once spooky and grisly, this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism.",R
The Devil Is a Part-Timer!,Anime Series,"Thwarted in their attempt to take over the world of Ente Isla, Satan and his general Alciel land in modern-day Tokyo, where they take on human form.",TV-14
The Devil We Know,Documentaries,This documentary details DuPont's alleged decades-long cover-up of the potential harm caused by chemicals used to make popular Teflon products.,TV-14
The Diabolical,"Horror Movies, Sci-Fi & Fantasy, Thrillers","Terrorized by unexplained disturbances and horrific visions in her home, a young widowed mother turns to her scientist boyfriend for help.",TV-MA
The Dreamer,"Dramas, International Movies","A trio of friends struggles to make it through adolescence, all while hoping that bigger and better things await them.",TV-PG
The Drowning,Thrillers,"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions.",TV-MA
The Drunk and on Drugs Happy Funtime Hour,"International TV Shows, TV Comedies","A variety-show production trips up big time when the cast members take their roles to new heights, and the line between fact and fiction blurs.",TV-MA
The Duel,Dramas,"In 1866, a Texas Ranger investigates some suspicious deaths in a town ruled by a religious despot whose past contains a disturbing link to his own.",R
The Dukes of Hazzard,"Action & Adventure, Comedies","The Duke boys are back in this comedy based on the TV series, following Bo and Luke as they tear around Hazzard County in their trusty Dodge Charger.",PG-13
The Dukes of Hazzard: The Beginning,"Action & Adventure, Comedies","The mischievous Duke boys, Bo and Luke, are sent to live with their Uncle Jesse and cousin Daisy in this prequel movie to the popular TV series.",R
The Eichmann Show,"Dramas, International Movies",This is the astonishing true story behind a moment in TV history: the live 1961 broadcast of Nazi mass-murderer Adolf Eichmann's trial in Jerusalem.,TV-MA
The Eighties,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",TV-PG
The End of the Tour,"Dramas, Independent Movies","""Rolling Stone"" reporter David Lipsky shadows famed writer David Foster Wallace in this fictionalized account of their revealing five-day encounter.",R
The Endless,"Independent Movies, Sci-Fi & Fantasy, Thrillers","As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",TV-MA
The Evil Dead,"Classic Movies, Cult Movies, Horror Movies","During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.",TV-MA
The Exception,"Dramas, Romantic Movies","During World War II, a Nazi officer charged with protecting an exiled Kaiser Wilhelm II from spies begins a steamy affair with a secretive Dutch maid.",R
The Eyes of My Mother,"Horror Movies, Independent Movies","At the remote farmhouse where she once witnessed a traumatic childhood event, a young woman develops a grisly fascination with violence.",R
The Fear,"British TV Shows, Crime TV Shows, TV Dramas","Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory.",TV-MA
The Fear of 13,"Documentaries, International Movies","After 20 years on Death Row, self-educated inmate Nick petitions the court to be executed, then tells his twisting, turning tale of despair and hope.",TV-MA
The Feels,"Comedies, Independent Movies, LGBTQ Movies","During their bachelorette weekend, a lesbian couple's relationship hits a snag when one of the brides confesses to never having an orgasm.",TV-MA
The Fighter,"Dramas, Sports Movies","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",R
The Figurine (Araromire),"Horror Movies, International Movies, Thrillers","When a pair of friends discovers a mystical sculpture in an abandoned shrine, good fortune is bestowed upon them – until luck starts running out.",TV-14
The Final Destination,Horror Movies,"Nick O'Bannon thinks he's cheated death when he keeps a grisly premonition from becoming reality, but he soon realizes that fate has other plans.",R
The First Line,"Dramas, Independent Movies",Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.,TV-14
The First Temptation of Christ,"Comedies, International Movies","Jesus, who's hitting the big 3-0, brings a surprise guest to meet the family. A Christmas special so wrong, it must be from comedians Porta dos Fundos.",TV-MA
The First Wives Club,Comedies,"Following a friend's suicide after her husband dumps her for a younger model, three women plot payback against their two-timing exes.",PG
The Five,"British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",TV-MA
The Five Venoms,"Action & Adventure, Cult Movies, International Movies",A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.,R
The Flintstones,"Children & Family Movies, Comedies",The Flintstones hit the big screen in this live-action comedy that finds Fred and Barney struggling to cope with the pressures of work and family.,PG
The Flintstones in Viva Rock Vegas,"Children & Family Movies, Comedies, Romantic Movies","Yabba-dabba-doo! Digital dinosaurs rule the day when Fred, Barney, Betty and Wilma take Vegas by storm in this prequel that posits their lives before marriage.",PG
The Flying Guillotine,"Action & Adventure, Dramas, International Movies","In Qing-dynasty China, the emperor commands that a weapon be invented to kill at a distance without a trace. Then he orders it used on its wielders.",TV-MA
The Forbidden Kingdom,"Action & Adventure, Sci-Fi & Fantasy",Jackie Chan and Jet Li star in this rousing adventure about a martial arts movie fan who finds a mystical staff that transports him to ancient China.,PG-13
The Force,Documentaries,"This documentary follows the police of Oakland, California, as they reform and face the challenges of corruption, commitment and cataclysmic change.",TV-MA
The Foreigner,"Action & Adventure, International Movies","After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance.",R
The Forgotten,Horror Movies,"After a teenager goes to live with his father in abandoned public housing, he hears strange noises and decides to investigate with his new friend.",TV-MA
The Fosters,TV Dramas,"This offbeat drama charts the ups and downs of an interracial lesbian couple and their multiethnic brood of biological, adopted and foster children.",TV-14
The Founder,Dramas,"After a fateful encounter with the McDonald brothers, struggling salesman Ray Kroc becomes driven to change the way hamburgers are made and sold.",PG-13
The Free Man,"Documentaries, Sports Movies",Olympic freestyle skier Jossi Wells learns the dangerous extreme sport of highlining with help from death-defying daredevils the Flying Frenchies.,TV-PG
The Frozen Ground,"Dramas, Thrillers","In this fact-based thriller, an Alaska state trooper pursuing a serial killer teams with a 17-year-old-prostitute who escaped the predator's clutches.",R
The Furchester Hotel,"British TV Shows, Kids' TV","Elmo hops across the pond to help his extended monster family solve problems at their ""almost"" world-class establishment, the Furchester Hotel.",TV-Y
The Future of Water,"Docuseries, International TV Shows, Science & Nature TV",A look at the deeply intertwined history of humanity and fresh water reveals looming challenges that could upend power structures around the world.,TV-PG
The Gathering,"Comedies, Dramas, International Movies","Between divorce, bad relationships and coming out as gay, a group of affluent friends realize that none of their lives are as easy as they seem.",TV-14
The Gentleman Driver,"Documentaries, Sports Movies","This documentary follows four tycoons who moonlight as motorsport competitors and examines what fuels them to succeed, both at work and on the track.",TV-MA
The Ghost Who Walks,"Dramas, Independent Movies, Thrillers","Desperate to meet his daughter, a convict cuts a deal by ratting out his old boss. Free and searching for his family, he must dodge a hit on his life.",TV-MA
The Girl with the Dragon Tattoo,"Dramas, Thrillers","When a young computer hacker is tasked with investigating a prying journalist, their separate missions become entangled amid a decades-old conspiracy.",R
The Golden Years with Javed Akhtar,"Docuseries, International TV Shows","Writer, poet and lyricist Javed Akhtar hosts this musical trip down memory lane, revealing untold stories behind India's best songs of 1950-75.",TV-G
The Golem,"Horror Movies, Independent Movies, International Movies","As sickness spreads throughout the countryside, an infertile woman conjures a living child out of clay and sets it loose on her enemies.",TV-MA
The Good Catholic,"Comedies, Dramas, Romantic Movies",A young priest’s faith is tested when he finds himself attracted to a woman he meets at confession and his ideals are shaken to the core.,PG-13
The Good Neighbor,"Dramas, Independent Movies, Thrillers","Two tech-savvy teens plot to fool a cranky old neighbor into believing his house is haunted, but their cruel prank soon takes some unexpected turns.",TV-MA
"The Goods: Live Hard, Sell Hard",Comedies,"Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.",R
The Gospel of John,"Dramas, Faith & Spirituality","In the first of four word-for-word film adaptations, Aramaic-speaking actors re-create the stories of Jesus' life from the fourth gospel.",TV-14
The Gospel of Luke,"Dramas, Faith & Spirituality",Word-for-word Bible texts of the entire book of Luke are narrated and re-enacted in this epic production of the Gospel's accounts of Jesus's life.,TV-14
The Gospel of Mark,"Dramas, Faith & Spirituality","See Jesus from a disciple's point of view in this first-ever, word-for-word film adaptation of the Gospel of Mark, lauded for its historical accuracy.",TV-14
The Gospel of Matthew,"Dramas, Faith & Spirituality",The Apostle Matthew is highlighted in this word-for-word film adaptation of the former tax collector's Biblical writings about working with Jesus.,TV-14
The Great Battle,"Action & Adventure, Dramas, International Movies","In seventh-century Korea, the commander of Ansi Fortress, Yang Man-chun, combats Tang invaders in a retelling of an epic clash against all odds.",TV-MA
The Great British Baking Show: Masterclass,"British TV Shows, Reality TV",Hosts Mary Berry and Paul Hollywood leave the tent and go into the kitchen to put their professional spin on baking techniques used in the show.,TV-PG
The Great Gambler,"Action & Adventure, Classic Movies, Cult Movies","After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelgänger.",TV-14
The Great Raid,"Action & Adventure, Dramas","In World War II, a battalion goes on a daring rescue mission to liberate the Americans and Filipinos who've been captured by the Japanese.",R
The Great Train Robbery,"British TV Shows, Crime TV Shows, International TV Shows","This two-part tale delivers the true story of the Great Train Robbery of 1963, the biggest one in England's history.",NR
The Green Hornet,"Action & Adventure, Comedies","A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius.",PG-13
The Guild,TV Comedies,Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.,TV-MA
The Hatred,Horror Movies,Four young women head to a country house for an idyllic weekend retreat. But what lies in store for them is far from the dreamy getaway they imagined.,R
The Haunting of Molly Hartley,"Horror Movies, Thrillers","A troubled teenage girl hopes to start fresh at a new school, but the horrifying truth about her past is destined to catch up with her.",PG-13
The Healer,"Children & Family Movies, Dramas, Faith & Spirituality","A handyman who has hit rock bottom agrees to live with his distant uncle, who insists that his ability to fix things extends beyond the repair shop.",TV-14
The Heat: A Kitchen (R)evolution,Documentaries,Seven female chefs describe what it’s like breaking into the restaurant industry's notorious boys' club.,TV-MA
The Help,Dramas,"A young, white writer stirs up the status quo in 1960s Mississippi by interviewing Black housemaids and bringing their stories to the masses.",PG-13
The Heretics,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,TV-MA
The Heroes of Evil,"Dramas, International Movies","Three teenage misfits find camaraderie in sex, violence and petty crime. But what starts as a lark soon threatens to damage them beyond repair.",TV-MA
The Heyday of the Insensitive Bastards,"Dramas, Independent Movies",An all-star cast brings to life the short stories of author Robert Boswell in this anthology series of vignettes set in modern-day America.,TV-MA
The Hollow Point,Action & Adventure,New straight-arrow sheriff Wallace finds he must join forces with brutal ex-lawman Leland to protect a troubled border town from a cartel hit man.,R
The Holy Man,"Comedies, Faith & Spirituality, International Movies","Formerly a troubled youth, a monk is given charge of a Buddhist temple neglected by superstitious villagers under the spell of a fake psychic.",TV-14
The Homecoming,"International TV Shows, Korean TV Shows, Reality TV","Panelists from the Korean show ""Abnormal Summit"" lead cast mates on tours of their home countries, including China, Nepal, Italy, Canada and France.",TV-PG
The House on Coco Road,Documentaries,"This film chronicles the journey of Fannie Haughton, an Oakland activist who fled to Grenada with her family just prior to the U.S. invasion in 1983.",TV-14
The House That Made Me,"International TV Shows, Reality TV","With host Vinay Pathak, Indian celebrities return to their childhood homes to reconnect with the past and share stories of their journey to success.",TV-PG
The Human Factor: The Untold Story of the Bombay Film Orchestras,"Documentaries, International Movies, Music & Musicals",A family of Parsi musicians collectively works for over 60 years scoring the orchestral soundtracks for some of Bollywood's most memorable films.,TV-PG
The Humanity Bureau,"Action & Adventure, Sci-Fi & Fantasy","In a dystopian, near-future United States, a deportation caseworker who has begun to question authority tries to safeguard a woman and her young son.",R
The Hundred-Foot Journey,"Comedies, Dramas","A chef and his family leave India to open an eatery in the south of France, where they clash with the haughty restaurateur across the street.",PG
The Hunt,"British TV Shows, Docuseries, Science & Nature TV","Witness some of the most riveting showdowns in the animal kingdom as cameras capture leopards, polar bears and other predators targeting their prey.",TV-PG
The Hurricane Heist,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,PG-13
The Hurt Business,"Documentaries, Sports Movies","Featuring legendary and up-and-coming MMA fighters, this documentary details the history of the brutal sport and the fighters' struggles and triumphs.",PG-13
The Imaginarium of Doctor Parnassus,"Action & Adventure, Sci-Fi & Fantasy","When a deal with the devil comes due, the immortal Doctor Parnassus must renegotiate the pact to save his daughter and right the wrongs of his past.",PG-13
The Inbetweeners,"British TV Shows, TV Comedies",This rib-tickling series follows four English lads as they try – and fail spectacularly – to navigate the wretched no-man's land of adolescence.,TV-MA
The Incident,"International Movies, Sci-Fi & Fantasy, Thrillers","Two criminals race down a stairwell, a cop close behind. A bickering family begins a road trip. Their journeys will take far longer than expected.",TV-MA
The Incredible Story of the Giant Pear,Children & Family Movies,"Sebastian the elephant and his feline friend Mithco sail on a gigantic peach to rescue Sunnytown's beloved mayor, who's stranded on a mysterious island.",TV-G
The Incredibles 2,"Children & Family Movies, Comedies","When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting.",PG
The Indian in the Cupboard,"Children & Family Movies, Dramas","A boy receives a wooden cupboard, antique keys and an Iroquois warrior figurine for his birthday. The figurine comes to life overnight in the cabinet.",PG
The Informant!,"Comedies, Dramas","While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.",R
The Intent,"Dramas, International Movies, Thrillers","After burgeoning criminal Gunz joins the increasingly violent TIC crew, the gang finds itself dealing with threats from all sides.",TV-MA
The Intent 2: The Come Up,"Dramas, International Movies","During a trip to Jamaica, a London gang targets a disloyal member who has been meeting with rivals. Meanwhile, an undercover cop stands among them.",TV-MA
The Invention of Lying,"Comedies, Romantic Movies","In a world where no one fibs, a screenwriter gains fame and fortune – and maybe the girl of his dreams – by saying things that aren't true.",PG-13
The Investigator: A British Crime Story,"British TV Shows, Crime TV Shows, Docuseries","After 40 years of inconclusive evidence, renowned criminologist Mark Williams-Thomas re-examines a string of mysterious murders.",TV-MA
The Invitation,"Horror Movies, Independent Movies, Thrillers","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.",TV-MA
The Irish Mob,"Crime TV Shows, Docuseries","This documentary crime series charts the rise of the Irish Mob in America, from urban immigrant poverty to political power and wealth.",TV-MA
The Iron Lady,"Dramas, International Movies","Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.",PG-13
The Jack King Affair,"Documentaries, International Movies",This documentary explores a bold World War II operation in which an MI5 agent infiltrated a fascist network to intercept stolen documents.,TV-14
The Jaime Maussan Show,"Docuseries, International TV Shows, Spanish-Language TV Shows",Mexican journalist and UFO investigator Jaime Maussan travels the world collecting evidence and firsthand accounts of extraterrestrial phenomena.,TV-PG
The Jane Austen Book Club,"Comedies, Dramas, Romantic Movies",Six book club members find their lives resemble a modern-day version of Jane Austen's novels in this drama.,PG-13
The Jungle Book,Kids' TV,"This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan.",TV-Y7
The Jungle School,"Dramas, International Movies",An idealistic young woman travels to the jungles of Indonesia to teach literacy – and much more – to local children.,TV-PG
The Keeping Hours,"Dramas, Thrillers","Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home.",PG-13
The Kindness Diaries,Reality TV,"Host Leon Logothetis travels the world with only a vintage motorbike and the kindness of strangers, which he pays back in unexpected, inspiring ways.",TV-PG
The King's Speech,"Dramas, International Movies","In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",R
